date,Victor Rios,Roger Antonsen,Sandi Toksvig,Adam Galinsky,Iraola,isPartial
2011-09-01,14,0,20,1,24,False
2011-10-01,12,0,24,1,23,False
2011-11-01,10,0,25,2,20,False
2011-12-01,13,0,19,1,19,False
2012-01-01,10,0,27,1,18,False
2012-02-01,12,0,15,1,22,False
2012-03-01,12,1,11,1,39,False
2012-04-01,13,1,31,2,24,False
2012-05-01,10,0,14,1,29,False
2012-06-01,12,0,20,0,23,False
2012-07-01,10,0,20,2,16,False
2012-08-01,11,0,22,1,17,False
2012-09-01,11,0,24,1,19,False
2012-10-01,11,0,57,1,18,False
2012-11-01,11,0,31,1,19,False
2012-12-01,9,0,19,1,17,False
2013-01-01,10,0,19,2,17,False
2013-02-01,10,0,17,1,18,False
2013-03-01,12,0,19,1,17,False
2013-04-01,11,0,28,1,18,False
2013-05-01,11,0,32,0,15,False
2013-06-01,10,0,16,1,17,False
2013-07-01,10,0,17,1,17,False
2013-08-01,9,0,22,1,17,False
2013-09-01,11,1,17,2,22,False
2013-10-01,13,0,45,0,19,False
2013-11-01,14,1,25,1,17,False
2013-12-01,11,0,32,1,18,False
2014-01-01,12,0,26,1,16,False
2014-02-01,10,1,20,0,18,False
2014-03-01,13,0,31,0,20,False
2014-04-01,15,0,59,1,16,False
2014-05-01,13,1,20,0,18,False
2014-06-01,10,0,18,0,15,False
2014-07-01,10,0,19,1,18,False
2014-08-01,12,0,18,1,24,False
2014-09-01,12,0,14,1,25,False
2014-10-01,9,0,25,1,20,False
2014-11-01,12,0,29,1,19,False
2014-12-01,11,1,28,2,16,False
2015-01-01,11,0,21,1,15,False
2015-02-01,11,2,16,1,19,False
2015-03-01,13,0,18,1,26,False
2015-04-01,11,1,35,1,27,False
2015-05-01,11,0,50,0,72,False
2015-06-01,10,0,29,0,32,False
2015-07-01,9,0,28,1,36,False
2015-08-01,9,0,27,1,25,False
2015-09-01,10,0,27,1,21,False
2015-10-01,12,0,100,1,17,False
2015-11-01,10,0,35,1,16,False
2015-12-01,10,0,33,1,14,False
2016-01-01,9,0,16,1,17,False
2016-02-01,11,0,18,0,17,False
2016-03-01,11,1,21,1,18,False
2016-04-01,11,0,14,1,13,False
2016-05-01,13,1,19,1,23,False
2016-06-01,14,0,17,1,18,False
2016-07-01,12,0,11,1,20,False
2016-08-01,7,0,11,0,13,False
2016-09-01,23,0,11,1,18,False
2016-10-01,13,0,39,1,17,False
2016-11-01,12,2,24,1,24,False
2016-12-01,12,1,60,2,14,False
2017-01-01,10,1,28,1,13,False
2017-02-01,12,1,41,1,15,False
2017-03-01,12,0,62,2,13,False
2017-04-01,11,1,26,1,13,False
2017-05-01,8,0,15,1,17,False
2017-06-01,9,0,14,1,13,False
2017-07-01,7,1,14,1,14,False
2017-08-01,6,0,45,1,13,False
2017-09-01,9,0,64,1,13,False
2017-10-01,10,1,52,1,11,False
2017-11-01,7,1,26,1,10,False
2017-12-01,7,0,23,1,10,False
2018-01-01,7,0,25,1,14,False
2018-02-01,10,0,24,1,12,False
2018-03-01,9,0,23,1,10,False
2018-04-01,11,0,16,1,12,False
2018-05-01,7,0,16,1,12,False
2018-06-01,7,0,10,0,12,False
2018-07-01,8,1,14,1,11,False
2018-08-01,6,0,38,0,13,False
2018-09-01,9,1,62,1,13,False
2018-10-01,9,1,60,1,14,False
2018-11-01,8,0,56,1,12,False
2018-12-01,7,0,32,1,11,False
2019-01-01,7,1,55,1,11,False
2019-02-01,6,1,26,1,13,False
2019-03-01,7,1,38,1,11,False
2019-04-01,6,1,21,1,14,False
2019-05-01,7,0,19,1,11,False
2019-06-01,6,0,19,1,12,False
2019-07-01,7,0,17,1,17,False
2019-08-01,8,0,20,1,14,False
2019-09-01,7,0,52,2,12,False
2019-10-01,6,1,42,1,12,False
2019-11-01,7,0,41,0,12,False
2019-12-01,8,1,50,1,13,False
2020-01-01,8,0,80,1,20,False
2020-02-01,8,0,33,1,38,False
2020-03-01,7,0,43,1,15,False
2020-04-01,8,1,52,0,12,False
2020-05-01,7,0,34,0,10,False
2020-06-01,6,0,27,0,11,False
2020-07-01,7,0,24,0,24,False
2020-08-01,7,0,26,1,19,False
2020-09-01,7,1,50,1,14,False
2020-10-01,8,0,39,0,15,False
