date,William Li,Graham Hill,Dee Boersma,Richard Sears,Iraola,isPartial
2010-02-01,16,37,2,19,18,False
2010-03-01,12,47,0,12,26,False
2010-04-01,13,44,1,9,27,False
2010-05-01,24,59,2,16,24,False
2010-06-01,20,48,1,20,29,False
2010-07-01,16,49,1,17,20,False
2010-08-01,15,46,1,12,27,False
2010-09-01,21,39,0,11,32,False
2010-10-01,14,43,1,12,34,False
2010-11-01,12,42,0,21,42,False
2010-12-01,17,38,0,18,34,False
2011-01-01,13,45,1,22,28,False
2011-02-01,16,87,0,15,38,False
2011-03-01,12,45,0,11,46,False
2011-04-01,17,43,0,13,34,False
2011-05-01,13,55,0,13,31,False
2011-06-01,15,42,1,15,33,False
2011-07-01,16,46,0,12,28,False
2011-08-01,9,44,0,10,42,False
2011-09-01,13,62,0,11,34,False
2011-10-01,12,61,1,12,32,False
2011-11-01,10,47,0,18,28,False
2011-12-01,9,47,1,16,27,False
2012-01-01,14,47,1,12,25,False
2012-02-01,11,43,1,9,30,False
2012-03-01,13,43,1,10,54,False
2012-04-01,16,46,1,10,34,False
2012-05-01,15,56,1,11,41,False
2012-06-01,17,44,1,12,32,False
2012-07-01,16,48,1,11,23,False
2012-08-01,13,43,1,12,24,False
2012-09-01,12,48,1,10,26,False
2012-10-01,14,42,0,7,25,False
2012-11-01,10,38,1,14,27,False
2012-12-01,10,41,1,15,23,False
2013-01-01,12,45,1,12,24,False
2013-02-01,10,48,0,12,25,False
2013-03-01,10,99,1,9,23,False
2013-04-01,14,60,1,9,25,False
2013-05-01,11,56,1,7,21,False
2013-06-01,14,46,0,10,23,False
2013-07-01,11,47,0,13,23,False
2013-08-01,14,46,0,8,24,False
2013-09-01,16,42,1,12,30,False
2013-10-01,15,53,1,8,26,False
2013-11-01,14,47,1,14,24,False
2013-12-01,11,44,1,9,25,False
2014-01-01,10,47,1,9,22,False
2014-02-01,15,51,1,11,25,False
2014-03-01,13,53,1,9,28,False
2014-04-01,8,49,1,8,22,False
2014-05-01,14,56,1,10,25,False
2014-06-01,12,42,0,8,21,False
2014-07-01,9,54,0,7,26,False
2014-08-01,11,48,0,6,34,False
2014-09-01,11,52,0,9,35,False
2014-10-01,8,49,1,7,27,False
2014-11-01,9,53,1,11,26,False
2014-12-01,8,44,0,9,22,False
2015-01-01,11,84,1,8,21,False
2015-02-01,8,39,1,11,26,False
2015-03-01,13,64,0,7,37,False
2015-04-01,8,40,1,7,38,False
2015-05-01,11,46,0,7,100,False
2015-06-01,11,43,1,5,44,False
2015-07-01,8,46,1,8,50,False
2015-08-01,9,40,0,8,34,False
2015-09-01,11,45,0,11,30,False
2015-10-01,11,43,0,10,24,False
2015-11-01,9,45,0,10,23,False
2015-12-01,10,43,0,6,20,False
2016-01-01,9,36,1,6,24,False
2016-02-01,11,42,1,8,23,False
2016-03-01,12,36,0,6,26,False
2016-04-01,10,41,1,7,18,False
2016-05-01,10,42,0,8,32,False
2016-06-01,10,39,0,6,26,False
2016-07-01,8,36,0,7,28,False
2016-08-01,15,34,1,8,18,False
2016-09-01,12,41,1,9,25,False
2016-10-01,11,39,0,7,24,False
2016-11-01,7,48,0,8,33,False
2016-12-01,8,41,0,7,19,False
2017-01-01,11,42,0,7,18,False
2017-02-01,11,38,0,7,21,False
2017-03-01,11,38,0,6,18,False
2017-04-01,12,43,0,7,19,False
2017-05-01,9,53,0,5,24,False
2017-06-01,12,43,1,6,19,False
2017-07-01,11,41,0,6,20,False
2017-08-01,9,48,0,5,18,False
2017-09-01,10,47,1,7,18,False
2017-10-01,8,38,0,10,16,False
2017-11-01,9,42,0,6,14,False
2017-12-01,8,43,0,5,14,False
2018-01-01,8,42,0,5,19,False
2018-02-01,8,42,0,8,17,False
2018-03-01,8,40,0,5,14,False
2018-04-01,10,37,1,4,16,False
2018-05-01,12,40,0,5,17,False
2018-06-01,7,41,0,4,17,False
2018-07-01,9,33,0,4,16,False
2018-08-01,9,37,0,5,17,False
2018-09-01,9,44,0,8,18,False
2018-10-01,10,43,0,8,20,False
2018-11-01,8,38,0,6,17,False
2018-12-01,8,33,0,4,16,False
2019-01-01,11,65,0,5,16,False
2019-02-01,10,37,1,7,19,False
2019-03-01,17,34,0,5,15,False
2019-04-01,18,40,0,4,19,False
2019-05-01,12,47,0,4,16,False
2019-06-01,15,37,0,5,17,False
2019-07-01,12,34,0,4,24,False
2019-08-01,13,40,0,5,20,False
2019-09-01,18,30,1,5,17,False
2019-10-01,12,80,0,4,16,False
2019-11-01,9,41,0,4,16,False
2019-12-01,11,33,0,4,19,False
2020-01-01,17,34,0,4,28,False
2020-02-01,14,36,1,3,54,False
2020-03-01,15,30,0,4,21,False
2020-04-01,10,40,0,5,17,False
2020-05-01,12,37,1,5,14,False
2020-06-01,12,40,0,3,16,False
2020-07-01,14,40,0,4,34,False
2020-08-01,13,39,0,3,27,False
2020-09-01,16,40,0,4,19,False
2020-10-01,15,38,0,3,21,False
