date,Tim Berners-Lee,Dan Ariely,Adam Savage,Bruce McCall,Iraola,isPartial
2016-10-01,9,10,20,1,7,False
2016-11-01,6,11,18,1,10,False
2016-12-01,5,10,33,0,5,False
2017-01-01,7,11,32,0,5,False
2017-02-01,7,9,43,0,6,False
2017-03-01,11,10,23,0,5,False
2017-04-01,11,9,25,0,5,False
2017-05-01,6,9,19,0,7,False
2017-06-01,5,6,17,1,5,False
2017-07-01,6,7,16,0,6,False
2017-08-01,5,7,18,1,5,False
2017-09-01,6,8,19,0,5,False
2017-10-01,7,9,21,0,5,False
2017-11-01,7,9,22,0,4,False
2017-12-01,6,8,24,0,4,False
2018-01-01,5,9,23,0,5,False
2018-02-01,6,9,15,0,5,False
2018-03-01,9,8,16,0,4,False
2018-04-01,6,10,15,1,5,False
2018-05-01,5,7,17,0,5,False
2018-06-01,4,7,24,0,5,False
2018-07-01,5,7,20,0,4,False
2018-08-01,5,7,16,0,5,False
2018-09-01,7,7,16,0,5,False
2018-10-01,10,8,14,0,6,False
2018-11-01,10,8,14,0,5,False
2018-12-01,5,7,18,0,5,False
2019-01-01,5,7,20,0,5,False
2019-02-01,7,6,19,0,5,False
2019-03-01,22,21,12,0,4,False
2019-04-01,4,13,14,0,6,False
2019-05-01,6,8,20,0,4,False
2019-06-01,5,7,34,0,5,False
2019-07-01,3,7,24,0,7,False
2019-08-01,4,8,23,0,6,False
2019-09-01,5,9,21,0,5,False
2019-10-01,5,9,15,0,5,False
2019-11-01,12,7,15,0,5,False
2019-12-01,4,7,18,0,5,False
2020-01-01,5,6,18,1,8,False
2020-02-01,6,8,21,0,15,False
2020-03-01,5,6,20,0,6,False
2020-04-01,5,8,22,0,5,False
2020-05-01,5,7,24,0,4,False
2020-06-01,4,6,25,0,5,False
2020-07-01,5,7,71,0,10,False
2020-08-01,4,6,21,0,8,False
2020-09-01,6,5,19,0,6,False
2020-10-01,7,4,20,0,6,False
