date,Stephen Lawler,Bill Stone,Alan Russell,Jonathan Harris,Iraola,isPartial
2019-12-01,0,30,8,18,16,False
2020-01-01,1,32,6,21,25,False
2020-02-01,0,36,6,15,46,False
2020-03-01,0,30,8,12,20,False
2020-04-01,0,51,9,17,14,False
2020-05-01,0,37,8,17,11,False
2020-06-01,0,31,7,17,15,False
2020-07-01,0,42,8,15,32,False
2020-08-01,0,32,7,25,23,False
2020-09-01,0,33,8,17,17,False
2020-10-01,1,32,6,19,19,False
