date,Dave deBronkart,Robert Hammond,Matt Cutts,Simon Lewis,Iraola,isPartial
2008-09-01,0,9,22,23,28,False
2008-10-01,0,9,19,35,24,False
2008-11-01,0,10,15,36,25,False
2008-12-01,0,12,14,32,20,False
2009-01-01,0,9,19,31,24,False
2009-02-01,0,7,19,28,28,False
2009-03-01,0,8,24,32,19,False
2009-04-01,0,9,18,29,25,False
2009-05-01,0,9,17,28,32,False
2009-06-01,0,7,21,33,22,False
2009-07-01,0,9,22,23,21,False
2009-08-01,0,11,34,23,26,False
2009-09-01,1,6,20,24,31,False
2009-10-01,2,8,21,43,22,False
2009-11-01,1,8,21,39,29,False
2009-12-01,0,11,20,39,21,False
2010-01-01,0,8,21,29,28,False
2010-02-01,1,3,18,42,14,False
2010-03-01,1,12,21,32,21,False
2010-04-01,0,7,22,30,22,False
2010-05-01,0,7,27,34,19,False
2010-06-01,1,8,26,24,23,False
2010-07-01,1,8,20,31,16,False
2010-08-01,0,8,18,21,22,False
2010-09-01,0,10,19,28,26,False
2010-10-01,1,9,16,31,28,False
2010-11-01,1,8,20,29,34,False
2010-12-01,0,7,31,31,28,False
2011-01-01,1,6,21,28,23,False
2011-02-01,1,8,28,31,30,False
2011-03-01,1,8,38,39,37,False
2011-04-01,1,6,22,40,27,False
2011-05-01,1,10,18,37,25,False
2011-06-01,2,9,23,42,26,False
2011-07-01,2,8,31,53,22,False
2011-08-01,0,8,21,47,34,False
2011-09-01,1,9,17,44,27,False
2011-10-01,1,7,20,33,25,False
2011-11-01,1,6,19,41,23,False
2011-12-01,1,7,15,41,22,False
2012-01-01,1,9,19,38,20,False
2012-02-01,1,9,15,35,24,False
2012-03-01,1,9,21,34,43,False
2012-04-01,1,7,27,37,27,False
2012-05-01,1,10,23,37,33,False
2012-06-01,0,7,17,37,26,False
2012-07-01,0,10,17,51,18,False
2012-08-01,1,10,20,47,19,False
2012-09-01,0,7,20,55,21,False
2012-10-01,0,7,23,46,20,False
2012-11-01,0,7,16,47,21,False
2012-12-01,1,8,15,53,19,False
2013-01-01,0,5,15,50,19,False
2013-02-01,0,7,17,40,20,False
2013-03-01,1,7,19,39,19,False
2013-04-01,0,7,19,49,20,False
2013-05-01,0,6,28,46,17,False
2013-06-01,0,6,23,49,19,False
2013-07-01,0,6,21,56,19,False
2013-08-01,1,9,20,65,19,False
2013-09-01,0,6,20,57,24,False
2013-10-01,1,6,21,59,21,False
2013-11-01,0,9,17,63,19,False
2013-12-01,0,7,19,76,20,False
2014-01-01,0,6,24,72,18,False
2014-02-01,0,6,24,65,20,False
2014-03-01,1,6,21,62,23,False
2014-04-01,1,8,22,63,17,False
2014-05-01,0,7,21,61,20,False
2014-06-01,0,7,20,66,17,False
2014-07-01,0,7,19,69,21,False
2014-08-01,0,7,16,64,27,False
2014-09-01,1,8,15,52,28,False
2014-10-01,0,7,12,49,22,False
2014-11-01,0,6,12,52,21,False
2014-12-01,0,7,9,55,17,False
2015-01-01,0,7,10,44,17,False
2015-02-01,0,6,11,46,21,False
2015-03-01,1,7,10,42,29,False
2015-04-01,0,8,10,45,30,False
2015-05-01,0,7,9,45,80,False
2015-06-01,0,9,11,46,36,False
2015-07-01,1,8,6,42,40,False
2015-08-01,0,7,7,43,28,False
2015-09-01,0,7,8,41,24,False
2015-10-01,0,6,9,38,20,False
2015-11-01,0,6,9,40,18,False
2015-12-01,0,8,7,47,16,False
2016-01-01,0,9,8,41,19,False
2016-02-01,0,6,8,40,19,False
2016-03-01,0,5,7,38,21,False
2016-04-01,0,6,8,38,15,False
2016-05-01,0,6,5,31,26,False
2016-06-01,0,9,7,34,20,False
2016-07-01,0,6,6,28,22,False
2016-08-01,0,6,6,29,14,False
2016-09-01,0,4,7,29,20,False
2016-10-01,0,7,7,31,19,False
2016-11-01,0,6,4,26,27,False
2016-12-01,0,7,4,27,15,False
2017-01-01,1,7,8,32,14,False
2017-02-01,1,7,7,27,17,False
2017-03-01,1,7,6,23,14,False
2017-04-01,0,7,6,22,15,False
2017-05-01,0,7,5,23,19,False
2017-06-01,0,9,6,27,15,False
2017-07-01,0,5,6,28,16,False
2017-08-01,0,6,4,26,14,False
2017-09-01,0,6,5,25,14,False
2017-10-01,0,6,6,24,13,False
2017-11-01,0,5,4,23,11,False
2017-12-01,0,5,4,24,11,False
2018-01-01,0,5,4,22,15,False
2018-02-01,0,5,4,27,13,False
2018-03-01,0,5,7,29,11,False
2018-04-01,0,6,5,29,13,False
2018-05-01,0,6,5,26,14,False
2018-06-01,0,6,2,23,14,False
2018-07-01,0,5,4,26,13,False
2018-08-01,0,6,3,25,14,False
2018-09-01,0,5,4,20,15,False
2018-10-01,0,6,4,26,16,False
2018-11-01,0,5,4,25,14,False
2018-12-01,0,5,2,26,13,False
2019-01-01,0,5,5,26,13,False
2019-02-01,1,5,4,22,15,False
2019-03-01,0,4,4,22,12,False
2019-04-01,0,6,4,22,15,False
2019-05-01,0,5,3,20,13,False
2019-06-01,0,5,3,20,13,False
2019-07-01,0,5,3,25,19,False
2019-08-01,1,4,2,22,16,False
2019-09-01,0,5,4,19,14,False
2019-10-01,0,5,3,18,13,False
2019-11-01,0,5,4,22,13,False
2019-12-01,0,4,4,22,15,False
2020-01-01,0,6,3,20,23,False
2020-02-01,0,5,4,17,43,False
2020-03-01,0,4,3,19,17,False
2020-04-01,0,5,3,25,14,False
2020-05-01,0,7,3,20,11,False
2020-06-01,0,6,3,20,13,False
2020-07-01,0,6,2,21,27,False
2020-08-01,0,5,2,24,21,False
2020-09-01,0,6,3,19,15,False
2020-10-01,0,5,2,21,17,False
