date,William Noel,Dalia Mogahed,Sebastian Deterding,Quixotic Fusion,Iraola,isPartial
2016-04-01,7,9,0,0,18,False
2016-05-01,6,7,1,0,32,False
2016-06-01,7,6,0,0,26,False
2016-07-01,6,4,0,0,28,False
2016-08-01,6,2,1,0,18,False
2016-09-01,8,2,1,1,25,False
2016-10-01,5,4,0,0,24,False
2016-11-01,6,4,1,0,33,False
2016-12-01,13,4,1,0,19,False
2017-01-01,8,5,1,0,18,False
2017-02-01,7,8,0,0,21,False
2017-03-01,7,3,1,0,18,False
2017-04-01,4,2,0,0,19,False
2017-05-01,5,4,1,0,24,False
2017-06-01,6,3,0,0,19,False
2017-07-01,6,3,0,0,20,False
2017-08-01,5,3,0,0,18,False
2017-09-01,5,2,1,0,18,False
2017-10-01,4,4,0,0,16,False
2017-11-01,9,3,0,0,14,False
2017-12-01,15,3,1,0,14,False
2018-01-01,7,2,0,0,19,False
2018-02-01,6,2,1,0,17,False
2018-03-01,5,2,0,0,14,False
2018-04-01,4,3,1,0,16,False
2018-05-01,4,2,0,0,17,False
2018-06-01,4,2,0,0,17,False
2018-07-01,3,2,0,0,16,False
2018-08-01,5,2,0,0,17,False
2018-09-01,4,1,0,0,18,False
2018-10-01,6,3,1,0,20,False
2018-11-01,9,5,0,0,17,False
2018-12-01,14,3,0,0,16,False
2019-01-01,5,2,0,0,16,False
2019-02-01,4,2,0,0,19,False
2019-03-01,3,3,0,0,15,False
2019-04-01,4,2,1,0,19,False
2019-05-01,5,3,0,0,16,False
2019-06-01,5,1,0,0,17,False
2019-07-01,4,1,0,0,24,False
2019-08-01,4,1,0,0,20,False
2019-09-01,6,3,1,1,17,False
2019-10-01,5,2,0,0,16,False
2019-11-01,6,1,0,0,16,False
2019-12-01,14,1,0,0,19,False
2020-01-01,6,1,0,0,28,False
2020-02-01,4,1,0,0,54,False
2020-03-01,3,1,0,0,21,False
2020-04-01,5,2,0,0,17,False
2020-05-01,6,2,0,0,14,False
2020-06-01,5,1,1,0,16,False
2020-07-01,4,1,0,0,34,False
2020-08-01,5,1,0,0,27,False
2020-09-01,4,2,0,0,19,False
2020-10-01,4,3,0,0,21,False
