date,Rose Goslinga,Meera Vijayann,Jill Shargaa,Jim Holt,Iraola,isPartial
2018-11-01,0,0,0,5,17,False
2018-12-01,0,0,0,8,16,False
2019-01-01,0,0,0,4,16,False
2019-02-01,0,0,0,5,19,False
2019-03-01,0,0,0,5,15,False
2019-04-01,0,0,0,5,19,False
2019-05-01,0,0,0,5,16,False
2019-06-01,0,0,0,3,17,False
2019-07-01,0,0,0,4,24,False
2019-08-01,0,0,0,5,20,False
2019-09-01,0,0,0,4,17,False
2019-10-01,0,0,0,4,16,False
2019-11-01,0,0,0,5,16,False
2019-12-01,0,0,0,5,19,False
2020-01-01,0,0,0,4,28,False
2020-02-01,0,0,0,4,54,False
2020-03-01,0,0,0,3,21,False
2020-04-01,0,0,0,4,17,False
2020-05-01,0,0,0,4,14,False
2020-06-01,0,0,0,3,16,False
2020-07-01,0,0,0,3,34,False
2020-08-01,0,0,0,3,27,False
2020-09-01,0,0,0,4,19,False
2020-10-01,1,0,0,3,21,False
