date,David Baron,Jon Boogz and Lil Buck,Anne Madden,Damon Davis,Iraola,isPartial
2009-02-01,19,0,5,6,35,False
2009-03-01,20,0,4,5,24,False
2009-04-01,20,0,3,2,32,False
2009-05-01,18,0,6,7,39,False
2009-06-01,39,0,4,4,27,False
2009-07-01,50,0,3,7,26,False
2009-08-01,23,0,4,5,32,False
2009-09-01,17,0,6,4,38,False
2009-10-01,20,0,4,4,28,False
2009-11-01,22,0,6,3,36,False
2009-12-01,23,0,7,6,27,False
2010-01-01,19,0,5,4,35,False
2010-02-01,27,0,7,4,18,False
2010-03-01,25,0,4,4,26,False
2010-04-01,20,0,6,4,27,False
2010-05-01,26,0,6,6,24,False
2010-06-01,23,0,3,8,29,False
2010-07-01,15,0,3,3,20,False
2010-08-01,15,0,6,4,27,False
2010-09-01,15,0,3,3,32,False
2010-10-01,20,0,6,4,34,False
2010-11-01,17,0,3,5,42,False
2010-12-01,16,0,8,1,34,False
2011-01-01,16,0,6,6,28,False
2011-02-01,20,0,5,5,38,False
2011-03-01,18,0,5,6,46,False
2011-04-01,20,0,4,5,34,False
2011-05-01,17,0,3,6,31,False
2011-06-01,18,0,3,4,33,False
2011-07-01,16,0,4,4,28,False
2011-08-01,16,0,4,5,42,False
2011-09-01,18,0,6,5,34,False
2011-10-01,17,0,5,4,32,False
2011-11-01,16,0,6,6,28,False
2011-12-01,21,0,5,5,27,False
2012-01-01,23,0,4,5,25,False
2012-02-01,25,0,5,4,30,False
2012-03-01,18,0,4,3,54,False
2012-04-01,16,0,6,6,34,False
2012-05-01,28,0,4,5,41,False
2012-06-01,21,0,4,6,32,False
2012-07-01,16,0,5,4,23,False
2012-08-01,18,0,5,4,24,False
2012-09-01,17,0,4,4,26,False
2012-10-01,16,0,3,7,25,False
2012-11-01,18,0,2,5,27,False
2012-12-01,20,0,5,4,23,False
2013-01-01,17,0,5,5,24,False
2013-02-01,16,0,5,5,25,False
2013-03-01,16,0,4,7,23,False
2013-04-01,15,0,5,6,25,False
2013-05-01,12,0,3,6,21,False
2013-06-01,13,0,3,7,23,False
2013-07-01,18,0,4,3,23,False
2013-08-01,18,0,2,6,24,False
2013-09-01,14,0,4,3,30,False
2013-10-01,15,0,4,4,26,False
2013-11-01,17,0,3,4,24,False
2013-12-01,17,0,5,4,25,False
2014-01-01,13,0,3,5,22,False
2014-02-01,17,0,4,7,25,False
2014-03-01,17,0,3,5,28,False
2014-04-01,16,0,5,4,22,False
2014-05-01,15,0,4,7,25,False
2014-06-01,16,0,4,4,21,False
2014-07-01,12,0,3,6,26,False
2014-08-01,11,0,5,6,34,False
2014-09-01,15,0,3,5,35,False
2014-10-01,11,0,3,3,27,False
2014-11-01,15,0,5,7,26,False
2014-12-01,15,0,4,6,22,False
2015-01-01,18,0,6,4,21,False
2015-02-01,15,0,4,6,26,False
2015-03-01,13,0,4,3,37,False
2015-04-01,13,0,4,4,38,False
2015-05-01,13,0,3,4,100,False
2015-06-01,16,0,4,4,44,False
2015-07-01,15,0,3,5,50,False
2015-08-01,12,0,2,6,34,False
2015-09-01,14,0,3,9,30,False
2015-10-01,14,0,3,5,24,False
2015-11-01,15,0,2,5,23,False
2015-12-01,17,0,3,5,20,False
2016-01-01,17,0,4,8,24,False
2016-02-01,18,0,5,8,23,False
2016-03-01,19,0,5,4,26,False
2016-04-01,15,0,3,5,18,False
2016-05-01,14,0,3,5,32,False
2016-06-01,14,0,3,3,26,False
2016-07-01,14,0,2,4,28,False
2016-08-01,14,0,3,4,18,False
2016-09-01,14,0,3,5,25,False
2016-10-01,11,0,2,5,24,False
2016-11-01,14,0,2,3,33,False
2016-12-01,12,0,5,5,19,False
2017-01-01,12,0,3,4,18,False
2017-02-01,12,0,2,10,21,False
2017-03-01,13,0,3,5,18,False
2017-04-01,13,0,3,4,19,False
2017-05-01,12,0,2,5,24,False
2017-06-01,13,0,2,3,19,False
2017-07-01,11,0,2,4,20,False
2017-08-01,17,0,4,6,18,False
2017-09-01,11,0,4,4,18,False
2017-10-01,12,0,3,4,16,False
2017-11-01,11,0,3,6,14,False
2017-12-01,13,0,3,4,14,False
2018-01-01,12,1,2,6,19,False
2018-02-01,12,0,3,6,17,False
2018-03-01,11,0,4,4,14,False
2018-04-01,13,0,3,4,16,False
2018-05-01,14,0,2,4,17,False
2018-06-01,11,0,2,4,17,False
2018-07-01,18,0,4,4,16,False
2018-08-01,15,0,3,4,17,False
2018-09-01,11,0,4,4,18,False
2018-10-01,10,0,3,4,20,False
2018-11-01,12,0,2,6,17,False
2018-12-01,13,0,3,5,16,False
2019-01-01,12,0,3,5,16,False
2019-02-01,12,0,2,4,19,False
2019-03-01,12,0,3,4,15,False
2019-04-01,11,0,2,4,19,False
2019-05-01,11,0,3,2,16,False
2019-06-01,10,0,3,3,17,False
2019-07-01,11,0,3,2,24,False
2019-08-01,12,0,2,4,20,False
2019-09-01,10,0,2,3,17,False
2019-10-01,12,0,2,3,16,False
2019-11-01,17,0,2,3,16,False
2019-12-01,11,0,2,4,19,False
2020-01-01,12,0,3,5,28,False
2020-02-01,11,0,3,3,54,False
2020-03-01,12,0,2,3,21,False
2020-04-01,13,0,2,6,17,False
2020-05-01,10,0,2,4,14,False
2020-06-01,13,0,3,4,16,False
2020-07-01,12,0,2,4,34,False
2020-08-01,12,0,2,4,27,False
2020-09-01,11,0,2,4,19,False
2020-10-01,15,0,2,3,21,False
