date,Samantha Power,Charles Elachi,Ursus Wehrli,Isaac Mizrahi,Iraola,isPartial
2012-04-01,3,0,1,5,5,False
2012-05-01,2,0,2,6,6,False
2012-06-01,2,0,1,5,5,False
2012-07-01,2,0,1,6,4,False
2012-08-01,3,2,1,5,4,False
2012-09-01,4,0,1,6,4,False
2012-10-01,2,0,2,7,4,False
2012-11-01,3,0,1,8,4,False
2012-12-01,3,0,1,7,4,False
2013-01-01,2,0,1,9,4,False
2013-02-01,2,0,1,7,4,False
2013-03-01,2,0,2,7,4,False
2013-04-01,1,0,1,6,4,False
2013-05-01,1,0,1,8,3,False
2013-06-01,41,0,1,7,4,False
2013-07-01,10,0,1,9,4,False
2013-08-01,12,0,1,9,4,False
2013-09-01,13,0,1,8,5,False
2013-10-01,12,0,1,7,4,False
2013-11-01,5,0,1,7,4,False
2013-12-01,4,0,1,9,4,False
2014-01-01,4,0,1,9,3,False
2014-02-01,6,0,1,9,4,False
2014-03-01,13,0,1,9,4,False
2014-04-01,7,0,1,9,3,False
2014-05-01,5,0,1,9,4,False
2014-06-01,3,0,0,7,3,False
2014-07-01,9,0,1,9,4,False
2014-08-01,6,0,0,8,5,False
2014-09-01,7,0,1,8,6,False
2014-10-01,6,0,1,8,4,False
2014-11-01,10,0,1,10,4,False
2014-12-01,9,0,1,9,3,False
2015-01-01,5,0,1,13,3,False
2015-02-01,5,0,1,11,4,False
2015-03-01,7,0,1,9,6,False
2015-04-01,5,0,0,10,6,False
2015-05-01,6,0,0,8,16,False
2015-06-01,7,0,1,8,7,False
2015-07-01,4,0,0,9,8,False
2015-08-01,3,0,0,10,5,False
2015-09-01,4,0,1,9,5,False
2015-10-01,4,0,0,8,4,False
2015-11-01,4,0,1,8,4,False
2015-12-01,7,0,1,8,3,False
2016-01-01,4,0,0,9,4,False
2016-02-01,5,0,1,8,4,False
2016-03-01,6,0,0,12,4,False
2016-04-01,6,0,1,10,3,False
2016-05-01,5,0,1,9,5,False
2016-06-01,4,0,0,8,4,False
2016-07-01,4,0,0,7,4,False
2016-08-01,3,0,0,8,3,False
2016-09-01,9,0,0,7,4,False
2016-10-01,5,0,0,7,4,False
2016-11-01,6,0,0,6,5,False
2016-12-01,19,0,0,6,3,False
2017-01-01,12,0,0,8,3,False
2017-02-01,6,0,0,7,3,False
2017-03-01,4,0,1,7,3,False
2017-04-01,5,0,0,6,3,False
2017-05-01,3,0,0,7,4,False
2017-06-01,4,0,0,7,3,False
2017-07-01,4,0,0,7,3,False
2017-08-01,4,0,0,6,3,False
2017-09-01,7,0,0,6,3,False
2017-10-01,4,0,0,7,3,False
2017-11-01,4,0,1,6,2,False
2017-12-01,3,0,0,6,2,False
2018-01-01,7,0,0,6,3,False
2018-02-01,4,0,0,7,3,False
2018-03-01,8,0,0,9,2,False
2018-04-01,3,0,0,7,3,False
2018-05-01,6,0,0,6,3,False
2018-06-01,4,0,0,6,3,False
2018-07-01,2,0,0,6,2,False
2018-08-01,2,0,0,7,3,False
2018-09-01,4,0,0,6,3,False
2018-10-01,4,0,0,8,3,False
2018-11-01,3,0,0,5,3,False
2018-12-01,3,0,0,7,2,False
2019-01-01,3,0,1,8,3,False
2019-02-01,2,0,0,9,3,False
2019-03-01,2,0,0,10,2,False
2019-04-01,2,0,0,8,3,False
2019-05-01,3,0,0,7,2,False
2019-06-01,3,0,0,7,3,False
2019-07-01,2,0,0,7,4,False
2019-08-01,2,0,0,7,3,False
2019-09-01,22,0,1,8,3,False
2019-10-01,9,0,0,6,3,False
2019-11-01,8,0,1,8,3,False
2019-12-01,5,0,0,6,3,False
2020-01-01,5,0,1,7,4,False
2020-02-01,3,0,0,7,8,False
2020-03-01,3,0,0,5,3,False
2020-04-01,6,0,0,5,3,False
2020-05-01,8,0,1,7,2,False
2020-06-01,4,0,0,7,3,False
2020-07-01,4,0,0,6,5,False
2020-08-01,4,0,0,6,4,False
2020-09-01,3,0,0,6,3,False
2020-10-01,3,0,0,6,3,False
