date,Richard Feynman,James Cameron,The LXD,Srikumar Rao,Iraola,isPartial
2013-02-01,3,11,0,0,1,False
2013-03-01,5,10,0,0,1,False
2013-04-01,3,9,0,0,1,False
2013-05-01,4,9,0,0,1,False
2013-06-01,2,9,0,0,1,False
2013-07-01,2,10,0,0,1,False
2013-08-01,3,10,0,0,1,False
2013-09-01,3,10,0,0,1,False
2013-10-01,2,9,0,0,1,False
2013-11-01,5,10,0,0,1,False
2013-12-01,3,10,0,0,1,False
2014-01-01,3,11,0,0,1,False
2014-02-01,2,9,0,0,1,False
2014-03-01,2,10,0,0,1,False
2014-04-01,2,12,0,0,1,False
2014-05-01,3,10,0,0,1,False
2014-06-01,2,8,0,0,1,False
2014-07-01,2,10,0,0,1,False
2014-08-01,2,14,0,0,1,False
2014-09-01,2,9,0,0,1,False
2014-10-01,2,9,0,0,1,False
2014-11-01,2,10,0,0,1,False
2014-12-01,2,9,0,0,1,False
2015-01-01,2,10,0,0,1,False
2015-02-01,3,9,0,0,1,False
2015-03-01,2,8,0,0,1,False
2015-04-01,2,11,0,0,1,False
2015-05-01,2,10,0,0,3,False
2015-06-01,2,12,0,0,1,False
2015-07-01,2,11,0,0,1,False
2015-08-01,3,9,0,0,1,False
2015-09-01,2,9,0,0,1,False
2015-10-01,4,8,0,0,1,False
2015-11-01,3,8,0,0,1,False
2015-12-01,2,9,0,0,1,False
2016-01-01,3,11,0,0,1,False
2016-02-01,2,9,0,0,1,False
2016-03-01,2,14,0,0,1,False
2016-04-01,2,10,0,0,0,False
2016-05-01,2,9,0,0,1,False
2016-06-01,2,9,0,0,1,False
2016-07-01,2,9,0,0,1,False
2016-08-01,2,7,0,0,0,False
2016-09-01,2,7,0,0,1,False
2016-10-01,2,6,0,0,1,False
2016-11-01,2,7,0,0,1,False
2016-12-01,2,9,0,0,0,False
2017-01-01,2,9,0,0,0,False
2017-02-01,2,11,0,0,1,False
2017-03-01,2,9,0,0,0,False
2017-04-01,2,9,0,0,0,False
2017-05-01,2,9,0,0,1,False
2017-06-01,2,7,0,0,0,False
2017-07-01,2,9,0,0,1,False
2017-08-01,2,10,0,0,0,False
2017-09-01,2,8,0,0,0,False
2017-10-01,4,7,0,0,0,False
2017-11-01,2,8,0,0,0,False
2017-12-01,2,11,0,0,0,False
2018-01-01,3,9,0,0,0,False
2018-02-01,2,8,0,0,0,False
2018-03-01,2,8,0,0,0,False
2018-04-01,2,10,0,0,0,False
2018-05-01,3,9,0,0,0,False
2018-06-01,2,7,0,0,0,False
2018-07-01,2,8,0,0,0,False
2018-08-01,2,8,0,0,0,False
2018-09-01,2,7,0,0,0,False
2018-10-01,2,7,0,0,1,False
2018-11-01,2,7,0,0,0,False
2018-12-01,2,8,0,0,0,False
2019-01-01,2,9,0,0,0,False
2019-02-01,2,13,0,0,0,False
2019-03-01,2,9,0,0,0,False
2019-04-01,2,8,0,0,0,False
2019-05-01,2,13,0,0,0,False
2019-06-01,2,8,0,0,0,False
2019-07-01,2,12,0,0,1,False
2019-08-01,2,9,0,0,0,False
2019-09-01,2,11,0,0,0,False
2019-10-01,2,11,0,0,0,False
2019-11-01,2,10,0,0,0,False
2019-12-01,2,8,0,0,0,False
2020-01-01,2,9,0,0,1,False
2020-02-01,2,8,0,0,1,False
2020-03-01,2,7,0,0,1,False
2020-04-01,3,9,0,0,0,False
2020-05-01,3,10,0,0,0,False
2020-06-01,2,9,0,0,0,False
2020-07-01,2,8,0,0,1,False
2020-08-01,2,8,0,0,1,False
2020-09-01,3,7,0,0,0,False
2020-10-01,2,7,0,0,1,False
