date,Deborah Gordon,J.J. Abrams,David Gallo,Paola Antonelli,Iraola,isPartial
2012-09-01,1,7,2,1,7,False
2012-10-01,1,6,2,1,7,False
2012-11-01,2,5,2,1,7,False
2012-12-01,1,8,2,1,6,False
2013-01-01,1,42,2,1,6,False
2013-02-01,1,15,3,2,7,False
2013-03-01,1,8,2,3,6,False
2013-04-01,1,9,2,1,7,False
2013-05-01,1,19,2,2,6,False
2013-06-01,1,11,2,2,6,False
2013-07-01,1,10,2,2,6,False
2013-08-01,1,10,2,1,6,False
2013-09-01,1,8,1,1,8,False
2013-10-01,1,8,2,1,7,False
2013-11-01,1,9,2,1,6,False
2013-12-01,1,7,1,1,7,False
2014-01-01,1,6,2,2,6,False
2014-02-01,1,5,1,1,7,False
2014-03-01,1,6,2,1,8,False
2014-04-01,1,7,2,2,6,False
2014-05-01,2,10,2,1,7,False
2014-06-01,1,6,2,1,6,False
2014-07-01,1,5,2,1,7,False
2014-08-01,1,4,2,1,9,False
2014-09-01,1,4,2,1,9,False
2014-10-01,1,3,2,1,7,False
2014-11-01,1,8,2,1,7,False
2014-12-01,1,7,2,2,6,False
2015-01-01,1,4,2,1,6,False
2015-02-01,1,5,2,1,7,False
2015-03-01,1,3,2,1,10,False
2015-04-01,1,7,2,1,10,False
2015-05-01,1,3,2,1,27,False
2015-06-01,1,3,2,1,12,False
2015-07-01,1,4,2,1,13,False
2015-08-01,1,4,2,1,9,False
2015-09-01,1,3,2,1,8,False
2015-10-01,1,6,2,1,7,False
2015-11-01,1,7,1,1,6,False
2015-12-01,1,36,1,2,5,False
2016-01-01,1,10,2,2,6,False
2016-02-01,1,5,2,1,6,False
2016-03-01,1,7,2,1,7,False
2016-04-01,1,6,2,1,5,False
2016-05-01,1,6,2,1,9,False
2016-06-01,1,4,2,1,7,False
2016-07-01,1,5,1,1,7,False
2016-08-01,1,3,2,1,5,False
2016-09-01,1,3,1,1,7,False
2016-10-01,1,3,2,2,6,False
2016-11-01,1,4,2,1,9,False
2016-12-01,1,4,2,0,5,False
2017-01-01,1,3,1,1,5,False
2017-02-01,1,2,2,1,6,False
2017-03-01,1,2,2,1,5,False
2017-04-01,1,1,2,1,5,False
2017-05-01,1,2,1,1,6,False
2017-06-01,1,1,1,1,5,False
2017-07-01,1,1,2,1,5,False
2017-08-01,1,1,1,0,5,False
2017-09-01,1,4,1,1,5,False
2017-10-01,1,2,1,1,4,False
2017-11-01,1,2,2,1,4,False
2017-12-01,1,4,2,1,4,False
2018-01-01,1,3,2,1,5,False
2018-02-01,1,4,1,0,4,False
2018-03-01,1,1,2,1,4,False
2018-04-01,1,2,1,1,4,False
2018-05-01,1,1,1,1,5,False
2018-06-01,1,2,2,0,5,False
2018-07-01,1,2,2,0,4,False
2018-08-01,1,2,1,0,5,False
2018-09-01,1,2,1,1,5,False
2018-10-01,1,2,1,1,5,False
2018-11-01,1,2,1,1,5,False
2018-12-01,0,1,1,1,4,False
2019-01-01,1,2,2,1,4,False
2019-02-01,1,2,2,1,5,False
2019-03-01,1,1,2,1,4,False
2019-04-01,1,2,1,1,5,False
2019-05-01,1,1,1,0,4,False
2019-06-01,1,2,2,1,4,False
2019-07-01,1,1,1,1,6,False
2019-08-01,0,2,1,1,5,False
2019-09-01,1,2,1,1,5,False
2019-10-01,0,2,1,1,4,False
2019-11-01,1,2,1,2,4,False
2019-12-01,1,7,1,0,5,False
2020-01-01,1,3,1,0,8,False
2020-02-01,1,1,1,1,14,False
2020-03-01,1,2,1,1,6,False
2020-04-01,1,2,2,1,5,False
2020-05-01,1,2,1,1,4,False
2020-06-01,1,2,1,0,4,False
2020-07-01,0,2,1,0,9,False
2020-08-01,1,2,3,0,7,False
2020-09-01,1,1,2,1,5,False
2020-10-01,1,1,1,0,6,False
