date,Monika Bulaj,Quyen Nguyen,Pavan Sukhdev,Homaro Cantu + Ben Roche,Iraola,isPartial
2012-02-01,7,60,2,6,30,False
2012-03-01,2,66,2,6,54,False
2012-04-01,2,64,1,5,34,False
2012-05-01,3,57,3,4,41,False
2012-06-01,2,51,3,4,32,False
2012-07-01,2,51,2,1,23,False
2012-08-01,2,50,2,5,24,False
2012-09-01,3,62,3,4,26,False
2012-10-01,2,51,4,5,25,False
2012-11-01,2,49,2,5,27,False
2012-12-01,1,61,2,9,23,False
2013-01-01,2,49,2,4,24,False
2013-02-01,2,30,1,7,25,False
2013-03-01,1,52,1,3,23,False
2013-04-01,1,52,1,4,25,False
2013-05-01,1,55,2,6,21,False
2013-06-01,1,53,1,4,23,False
2013-07-01,1,43,1,3,23,False
2013-08-01,1,43,1,4,24,False
2013-09-01,2,42,1,2,30,False
2013-10-01,1,72,2,6,26,False
2013-11-01,2,44,3,6,24,False
2013-12-01,4,45,2,5,25,False
2014-01-01,1,33,2,7,22,False
2014-02-01,2,37,2,9,25,False
2014-03-01,2,50,2,6,28,False
2014-04-01,1,43,1,3,22,False
2014-05-01,1,43,1,4,25,False
2014-06-01,1,46,1,5,21,False
2014-07-01,1,42,1,4,26,False
2014-08-01,1,43,1,4,34,False
2014-09-01,1,39,2,4,35,False
2014-10-01,2,43,1,4,27,False
2014-11-01,1,47,1,4,26,False
2014-12-01,1,48,1,3,22,False
2015-01-01,1,81,1,4,21,False
2015-02-01,1,50,2,2,26,False
2015-03-01,2,54,1,2,37,False
2015-04-01,1,50,1,97,38,False
2015-05-01,1,48,1,8,100,False
2015-06-01,1,43,2,4,44,False
2015-07-01,1,47,0,7,50,False
2015-08-01,0,46,1,5,34,False
2015-09-01,1,45,1,4,30,False
2015-10-01,1,44,1,4,24,False
2015-11-01,1,41,1,3,23,False
2015-12-01,1,44,1,4,20,False
2016-01-01,0,32,1,4,24,False
2016-02-01,1,30,0,6,23,False
2016-03-01,2,40,0,12,26,False
2016-04-01,1,39,1,5,18,False
2016-05-01,0,33,1,4,32,False
2016-06-01,0,31,0,4,26,False
2016-07-01,1,27,1,6,28,False
2016-08-01,1,32,1,4,18,False
2016-09-01,1,33,1,6,25,False
2016-10-01,1,36,1,4,24,False
2016-11-01,1,31,1,4,33,False
2016-12-01,0,29,1,8,19,False
2017-01-01,0,22,1,4,18,False
2017-02-01,1,21,1,1,21,False
2017-03-01,1,31,1,3,18,False
2017-04-01,1,34,0,4,19,False
2017-05-01,0,30,0,3,24,False
2017-06-01,1,24,0,2,19,False
2017-07-01,0,22,0,3,20,False
2017-08-01,1,26,0,6,18,False
2017-09-01,1,17,1,2,18,False
2017-10-01,1,23,0,4,16,False
2017-11-01,1,18,1,2,14,False
2017-12-01,1,22,1,2,14,False
2018-01-01,1,19,1,4,19,False
2018-02-01,1,21,0,2,17,False
2018-03-01,2,26,1,3,14,False
2018-04-01,1,23,1,12,16,False
2018-05-01,1,18,1,4,17,False
2018-06-01,1,13,1,3,17,False
2018-07-01,0,14,1,1,16,False
2018-08-01,0,13,1,4,17,False
2018-09-01,0,11,1,3,18,False
2018-10-01,1,11,1,2,20,False
2018-11-01,0,12,1,2,17,False
2018-12-01,1,9,1,3,16,False
2019-01-01,1,11,1,3,16,False
2019-02-01,1,9,1,2,19,False
2019-03-01,1,16,1,3,15,False
2019-04-01,0,13,0,3,19,False
2019-05-01,1,13,1,2,16,False
2019-06-01,1,12,0,2,17,False
2019-07-01,0,11,1,3,24,False
2019-08-01,1,10,1,3,20,False
2019-09-01,0,9,1,2,17,False
2019-10-01,1,8,0,3,16,False
2019-11-01,1,11,1,1,16,False
2019-12-01,1,10,1,3,19,False
2020-01-01,0,7,2,1,28,False
2020-02-01,0,6,3,1,54,False
2020-03-01,0,7,1,2,21,False
2020-04-01,1,10,2,3,17,False
2020-05-01,0,8,1,3,14,False
2020-06-01,1,7,1,3,16,False
2020-07-01,1,7,1,2,34,False
2020-08-01,0,6,1,2,27,False
2020-09-01,1,6,2,3,19,False
2020-10-01,1,7,1,3,21,False
