date,Cosmin Mihaiu,Steven Wise,Chris Burkard,Jeffrey Brown,Iraola,isPartial
2014-06-01,0,2,3,25,21,False
2014-07-01,0,6,13,27,26,False
2014-08-01,0,4,13,27,34,False
2014-09-01,0,4,9,30,35,False
2014-10-01,0,4,8,27,27,False
2014-11-01,0,5,11,21,26,False
2014-12-01,1,3,9,25,22,False
2015-01-01,0,4,9,27,21,False
2015-02-01,0,3,7,32,26,False
2015-03-01,0,4,16,26,37,False
2015-04-01,0,4,8,25,38,False
2015-05-01,1,3,14,30,100,False
2015-06-01,2,3,19,27,44,False
2015-07-01,1,4,16,28,50,False
2015-08-01,0,3,16,23,34,False
2015-09-01,0,3,16,27,30,False
2015-10-01,0,3,12,26,24,False
2015-11-01,1,3,16,26,23,False
2015-12-01,0,3,16,30,20,False
2016-01-01,0,5,16,27,24,False
2016-02-01,0,5,11,30,23,False
2016-03-01,0,4,12,23,26,False
2016-04-01,0,5,9,28,18,False
2016-05-01,0,5,7,20,32,False
2016-06-01,0,5,10,22,26,False
2016-07-01,0,3,12,22,28,False
2016-08-01,1,3,12,22,18,False
2016-09-01,1,3,12,24,25,False
2016-10-01,0,3,15,29,24,False
2016-11-01,0,4,20,23,33,False
2016-12-01,0,3,15,22,19,False
2017-01-01,0,3,21,22,18,False
2017-02-01,0,3,15,23,21,False
2017-03-01,0,4,14,25,18,False
2017-04-01,0,3,15,26,19,False
2017-05-01,0,3,15,26,24,False
2017-06-01,0,2,15,16,19,False
2017-07-01,0,2,20,19,20,False
2017-08-01,0,3,20,23,18,False
2017-09-01,0,4,17,19,18,False
2017-10-01,0,3,16,20,16,False
2017-11-01,0,5,19,23,14,False
2017-12-01,0,4,20,22,14,False
2018-01-01,0,2,21,21,19,False
2018-02-01,0,3,14,20,17,False
2018-03-01,0,3,12,19,14,False
2018-04-01,0,3,13,21,16,False
2018-05-01,0,3,14,22,17,False
2018-06-01,0,2,16,20,17,False
2018-07-01,0,2,15,18,16,False
2018-08-01,0,2,9,20,17,False
2018-09-01,0,3,12,16,18,False
2018-10-01,0,3,11,24,20,False
2018-11-01,0,2,13,22,17,False
2018-12-01,0,2,11,20,16,False
2019-01-01,0,2,10,21,16,False
2019-02-01,0,4,11,21,19,False
2019-03-01,0,2,9,16,15,False
2019-04-01,0,1,9,17,19,False
2019-05-01,0,2,10,17,16,False
2019-06-01,0,5,10,17,17,False
2019-07-01,0,2,8,26,24,False
2019-08-01,0,2,9,39,20,False
2019-09-01,0,2,7,27,17,False
2019-10-01,0,4,8,24,16,False
2019-11-01,1,3,8,24,16,False
2019-12-01,0,2,12,19,19,False
2020-01-01,0,3,8,22,28,False
2020-02-01,0,2,8,21,54,False
2020-03-01,1,2,7,16,21,False
2020-04-01,0,3,7,20,17,False
2020-05-01,0,2,8,20,14,False
2020-06-01,0,3,5,27,16,False
2020-07-01,0,2,6,25,34,False
2020-08-01,0,1,7,21,27,False
2020-09-01,0,2,8,18,19,False
2020-10-01,0,1,10,21,21,False
