date,Michael Green,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",Jack Andraka,Al Vernacchio,Iraola,isPartial
2011-02-01,29,0,0,0,5,False
2011-03-01,28,0,0,0,6,False
2011-04-01,29,0,0,0,5,False
2011-05-01,26,0,0,0,4,False
2011-06-01,26,0,0,0,4,False
2011-07-01,25,0,0,0,4,False
2011-08-01,27,0,0,0,6,False
2011-09-01,26,0,0,0,5,False
2011-10-01,26,0,0,0,4,False
2011-11-01,26,0,0,0,4,False
2011-12-01,27,0,0,0,4,False
2012-01-01,29,0,0,0,3,False
2012-02-01,23,0,0,0,4,False
2012-03-01,25,0,0,0,7,False
2012-04-01,27,0,0,0,5,False
2012-05-01,24,0,6,0,5,False
2012-06-01,22,0,4,0,4,False
2012-07-01,29,0,1,0,3,False
2012-08-01,30,0,6,0,3,False
2012-09-01,100,0,3,0,3,False
2012-10-01,29,0,1,0,3,False
2012-11-01,29,0,1,0,4,False
2012-12-01,32,0,2,0,3,False
2013-01-01,31,0,3,0,3,False
2013-02-01,30,0,58,0,3,False
2013-03-01,30,0,11,0,3,False
2013-04-01,30,0,5,0,3,False
2013-05-01,26,0,18,0,3,False
2013-06-01,29,0,4,0,3,False
2013-07-01,28,0,7,0,3,False
2013-08-01,28,0,7,0,3,False
2013-09-01,29,0,7,0,4,False
2013-10-01,30,0,17,0,3,False
2013-11-01,27,0,18,0,3,False
2013-12-01,30,0,23,0,3,False
2014-01-01,32,0,10,0,3,False
2014-02-01,28,0,11,0,3,False
2014-03-01,27,0,5,0,4,False
2014-04-01,30,0,5,0,3,False
2014-05-01,30,0,4,0,3,False
2014-06-01,29,0,3,0,3,False
2014-07-01,28,0,3,0,3,False
2014-08-01,29,0,2,0,4,False
2014-09-01,26,0,2,0,5,False
2014-10-01,28,0,2,0,4,False
2014-11-01,28,0,2,0,3,False
2014-12-01,30,0,2,0,3,False
2015-01-01,28,0,2,0,3,False
2015-02-01,28,0,2,0,4,False
2015-03-01,27,0,2,0,5,False
2015-04-01,26,0,2,0,5,False
2015-05-01,26,0,3,0,13,False
2015-06-01,27,0,4,0,6,False
2015-07-01,24,0,2,0,7,False
2015-08-01,26,0,2,0,5,False
2015-09-01,25,0,4,0,4,False
2015-10-01,27,0,5,0,3,False
2015-11-01,27,0,2,0,3,False
2015-12-01,30,0,1,0,3,False
2016-01-01,27,0,3,0,3,False
2016-02-01,27,0,2,0,3,False
2016-03-01,27,0,1,0,3,False
2016-04-01,28,0,1,0,2,False
2016-05-01,26,0,3,0,4,False
2016-06-01,26,0,1,0,3,False
2016-07-01,24,0,1,0,4,False
2016-08-01,30,0,1,0,2,False
2016-09-01,23,0,2,0,3,False
2016-10-01,25,0,1,0,3,False
2016-11-01,32,0,1,0,4,False
2016-12-01,33,0,1,0,3,False
2017-01-01,27,0,1,0,2,False
2017-02-01,25,0,1,0,3,False
2017-03-01,25,0,2,0,2,False
2017-04-01,22,0,2,0,3,False
2017-05-01,23,0,1,0,3,False
2017-06-01,23,0,1,0,2,False
2017-07-01,25,0,0,0,3,False
2017-08-01,22,0,1,0,2,False
2017-09-01,21,0,1,0,2,False
2017-10-01,24,0,1,0,2,False
2017-11-01,26,0,1,0,2,False
2017-12-01,30,0,1,0,2,False
2018-01-01,23,0,1,0,3,False
2018-02-01,24,0,1,0,2,False
2018-03-01,25,0,1,0,2,False
2018-04-01,22,0,1,0,2,False
2018-05-01,22,0,1,0,2,False
2018-06-01,21,0,1,0,2,False
2018-07-01,22,0,0,0,2,False
2018-08-01,23,0,1,0,2,False
2018-09-01,22,0,1,0,2,False
2018-10-01,26,0,1,0,3,False
2018-11-01,25,0,1,0,2,False
2018-12-01,23,0,1,0,2,False
2019-01-01,24,0,1,0,2,False
2019-02-01,26,0,1,0,2,False
2019-03-01,25,0,1,0,2,False
2019-04-01,20,0,1,0,3,False
2019-05-01,20,0,1,0,2,False
2019-06-01,19,0,1,0,2,False
2019-07-01,19,0,0,0,3,False
2019-08-01,19,0,1,0,3,False
2019-09-01,22,0,2,0,2,False
2019-10-01,19,0,1,0,2,False
2019-11-01,23,0,1,0,2,False
2019-12-01,22,0,1,0,2,False
2020-01-01,24,0,1,0,4,False
2020-02-01,23,0,1,0,7,False
2020-03-01,18,0,1,0,3,False
2020-04-01,22,0,1,0,2,False
2020-05-01,27,0,1,0,2,False
2020-06-01,22,0,0,0,2,False
2020-07-01,24,0,0,0,5,False
2020-08-01,21,0,0,0,4,False
2020-09-01,23,0,1,0,3,False
2020-10-01,23,0,0,0,3,False
