date,Rachel Pike,Cynthia Schneider,Pranav Mistry,Mathieu Lehanneur,Iraola,isPartial
2009-07-01,1,0,4,1,9,False
2009-08-01,2,1,3,1,11,False
2009-09-01,1,1,6,1,13,False
2009-10-01,1,1,5,1,10,False
2009-11-01,3,1,100,3,12,False
2009-12-01,2,0,71,2,9,False
2010-01-01,1,1,60,2,12,False
2010-02-01,2,1,58,1,6,False
2010-03-01,1,1,40,1,9,False
2010-04-01,2,1,30,2,9,False
2010-05-01,1,1,25,1,8,False
2010-06-01,1,0,24,1,10,False
2010-07-01,1,0,24,2,7,False
2010-08-01,1,1,36,1,9,False
2010-09-01,2,0,34,1,11,False
2010-10-01,1,1,25,1,12,False
2010-11-01,1,1,26,1,14,False
2010-12-01,0,1,20,2,12,False
2011-01-01,1,1,19,1,10,False
2011-02-01,1,0,16,1,13,False
2011-03-01,2,1,19,1,16,False
2011-04-01,1,0,16,1,12,False
2011-05-01,1,1,15,1,11,False
2011-06-01,2,0,15,1,11,False
2011-07-01,1,0,20,1,9,False
2011-08-01,1,1,18,1,14,False
2011-09-01,1,0,29,1,12,False
2011-10-01,1,0,23,2,11,False
2011-11-01,1,1,19,1,10,False
2011-12-01,1,0,22,1,9,False
2012-01-01,2,1,21,1,9,False
2012-02-01,1,1,22,2,10,False
2012-03-01,2,0,17,2,19,False
2012-04-01,2,0,17,1,12,False
2012-05-01,1,1,16,1,14,False
2012-06-01,1,0,16,1,11,False
2012-07-01,2,1,17,1,8,False
2012-08-01,1,0,17,1,8,False
2012-09-01,1,1,15,3,9,False
2012-10-01,1,0,13,1,9,False
2012-11-01,1,0,12,1,9,False
2012-12-01,1,1,14,1,8,False
2013-01-01,1,1,13,1,8,False
2013-02-01,1,0,13,1,8,False
2013-03-01,1,0,15,2,8,False
2013-04-01,2,0,10,1,9,False
2013-05-01,1,0,10,2,7,False
2013-06-01,2,1,13,1,8,False
2013-07-01,1,0,14,1,8,False
2013-08-01,1,0,12,1,8,False
2013-09-01,1,0,31,1,10,False
2013-10-01,1,0,17,1,9,False
2013-11-01,1,0,13,2,8,False
2013-12-01,1,0,12,1,8,False
2014-01-01,2,1,16,1,8,False
2014-02-01,1,0,14,1,9,False
2014-03-01,1,0,12,2,10,False
2014-04-01,1,0,8,1,7,False
2014-05-01,1,0,18,1,8,False
2014-06-01,1,1,15,1,7,False
2014-07-01,1,0,10,0,9,False
2014-08-01,1,0,13,1,11,False
2014-09-01,1,0,13,1,12,False
2014-10-01,1,0,9,1,9,False
2014-11-01,2,0,10,1,9,False
2014-12-01,1,0,11,1,7,False
2015-01-01,2,0,10,1,7,False
2015-02-01,2,0,8,1,9,False
2015-03-01,2,0,7,2,12,False
2015-04-01,1,0,7,1,13,False
2015-05-01,1,0,7,1,34,False
2015-06-01,1,0,8,1,15,False
2015-07-01,2,0,9,0,17,False
2015-08-01,2,0,9,0,12,False
2015-09-01,1,1,11,0,10,False
2015-10-01,1,1,8,1,8,False
2015-11-01,1,0,7,1,8,False
2015-12-01,1,0,6,1,7,False
2016-01-01,1,0,4,1,8,False
2016-02-01,1,0,5,1,8,False
2016-03-01,1,0,4,1,9,False
2016-04-01,1,0,4,1,6,False
2016-05-01,1,0,4,1,11,False
2016-06-01,0,0,4,1,9,False
2016-07-01,1,0,6,0,9,False
2016-08-01,1,1,5,0,6,False
2016-09-01,1,0,6,1,9,False
2016-10-01,1,0,4,1,8,False
2016-11-01,1,0,3,1,11,False
2016-12-01,1,0,3,0,6,False
2017-01-01,1,0,4,1,6,False
2017-02-01,1,0,4,1,7,False
2017-03-01,1,0,3,1,6,False
2017-04-01,1,0,3,1,6,False
2017-05-01,0,0,4,1,8,False
2017-06-01,1,0,4,0,6,False
2017-07-01,1,0,5,1,7,False
2017-08-01,0,0,4,0,6,False
2017-09-01,1,0,3,1,6,False
2017-10-01,1,0,3,2,5,False
2017-11-01,1,0,3,1,5,False
2017-12-01,1,0,2,1,5,False
2018-01-01,1,0,2,1,7,False
2018-02-01,1,0,3,1,6,False
2018-03-01,0,0,3,1,5,False
2018-04-01,1,0,2,1,6,False
2018-05-01,1,0,3,1,6,False
2018-06-01,1,0,3,1,6,False
2018-07-01,1,0,4,1,5,False
2018-08-01,1,0,3,0,6,False
2018-09-01,1,0,3,1,6,False
2018-10-01,1,0,3,1,7,False
2018-11-01,1,0,2,1,6,False
2018-12-01,1,0,2,1,5,False
2019-01-01,1,0,3,1,5,False
2019-02-01,1,0,3,1,6,False
2019-03-01,1,0,2,1,5,False
2019-04-01,1,0,2,0,7,False
2019-05-01,0,71,2,1,5,False
2019-06-01,1,1,1,1,6,False
2019-07-01,1,0,4,1,8,False
2019-08-01,0,1,3,1,7,False
2019-09-01,1,0,3,1,6,False
2019-10-01,0,0,5,1,6,False
2019-11-01,0,0,2,0,6,False
2019-12-01,0,1,2,1,6,False
2020-01-01,1,0,6,1,10,False
2020-02-01,0,0,2,1,18,False
2020-03-01,1,0,2,1,7,False
2020-04-01,1,0,2,1,6,False
2020-05-01,1,0,2,1,5,False
2020-06-01,1,0,2,1,5,False
2020-07-01,1,0,2,0,12,False
2020-08-01,0,0,4,0,9,False
2020-09-01,0,0,2,1,7,False
2020-10-01,0,0,2,0,7,False
