date,Ronny Edry,Karen Thompson Walker,Hadyn Parry,Don Levy,Iraola,isPartial
2011-01-01,0,0,0,4,28,False
2011-02-01,0,1,0,6,38,False
2011-03-01,0,1,0,5,46,False
2011-04-01,0,1,0,6,34,False
2011-05-01,0,1,0,10,31,False
2011-06-01,0,1,0,9,33,False
2011-07-01,0,1,0,11,28,False
2011-08-01,0,1,0,7,42,False
2011-09-01,0,1,0,9,34,False
2011-10-01,0,2,0,6,32,False
2011-11-01,0,1,0,6,28,False
2011-12-01,0,1,0,6,27,False
2012-01-01,0,1,0,4,25,False
2012-02-01,0,1,0,5,30,False
2012-03-01,5,2,0,7,54,False
2012-04-01,1,1,0,4,34,False
2012-05-01,1,4,0,9,41,False
2012-06-01,1,11,0,5,32,False
2012-07-01,0,13,1,6,23,False
2012-08-01,1,8,0,2,24,False
2012-09-01,1,4,0,3,26,False
2012-10-01,1,4,0,4,25,False
2012-11-01,1,4,1,5,27,False
2012-12-01,2,2,0,3,23,False
2013-01-01,4,11,2,4,24,False
2013-02-01,2,6,1,4,25,False
2013-03-01,1,4,1,5,23,False
2013-04-01,2,7,1,4,25,False
2013-05-01,1,3,0,3,21,False
2013-06-01,2,3,0,3,23,False
2013-07-01,1,2,1,5,23,False
2013-08-01,1,1,1,5,24,False
2013-09-01,1,1,1,3,30,False
2013-10-01,1,3,1,4,26,False
2013-11-01,1,1,1,5,24,False
2013-12-01,1,2,0,6,25,False
2014-01-01,1,3,1,3,22,False
2014-02-01,1,2,0,2,25,False
2014-03-01,1,2,1,3,28,False
2014-04-01,0,2,1,4,22,False
2014-05-01,1,1,2,2,25,False
2014-06-01,1,2,1,2,21,False
2014-07-01,1,1,0,2,26,False
2014-08-01,1,1,0,3,34,False
2014-09-01,1,2,1,4,35,False
2014-10-01,2,2,1,5,27,False
2014-11-01,1,1,1,6,26,False
2014-12-01,0,1,1,2,22,False
2015-01-01,0,2,0,4,21,False
2015-02-01,1,2,0,5,26,False
2015-03-01,0,1,0,5,37,False
2015-04-01,1,1,1,4,38,False
2015-05-01,0,1,0,2,100,False
2015-06-01,1,1,0,3,44,False
2015-07-01,0,1,0,2,50,False
2015-08-01,0,1,0,3,34,False
2015-09-01,0,1,0,4,30,False
2015-10-01,0,1,0,3,24,False
2015-11-01,0,2,0,3,23,False
2015-12-01,0,1,0,4,20,False
2016-01-01,0,1,0,3,24,False
2016-02-01,0,1,1,2,23,False
2016-03-01,0,1,0,4,26,False
2016-04-01,1,2,1,4,18,False
2016-05-01,0,1,0,3,32,False
2016-06-01,0,1,1,1,26,False
2016-07-01,0,1,1,3,28,False
2016-08-01,1,1,1,2,18,False
2016-09-01,0,1,1,3,25,False
2016-10-01,0,1,0,3,24,False
2016-11-01,0,1,0,3,33,False
2016-12-01,0,0,0,3,19,False
2017-01-01,0,1,0,3,18,False
2017-02-01,0,1,1,3,21,False
2017-03-01,0,1,0,3,18,False
2017-04-01,0,1,0,2,19,False
2017-05-01,0,1,0,3,24,False
2017-06-01,0,1,0,2,19,False
2017-07-01,0,0,0,3,20,False
2017-08-01,0,1,0,2,18,False
2017-09-01,0,1,0,2,18,False
2017-10-01,0,1,0,2,16,False
2017-11-01,0,1,1,3,14,False
2017-12-01,0,1,0,1,14,False
2018-01-01,0,1,0,4,19,False
2018-02-01,0,1,0,2,17,False
2018-03-01,0,1,1,3,14,False
2018-04-01,0,1,0,2,16,False
2018-05-01,0,0,0,3,17,False
2018-06-01,0,1,0,2,17,False
2018-07-01,0,1,0,2,16,False
2018-08-01,0,1,0,2,17,False
2018-09-01,0,1,0,1,18,False
2018-10-01,0,1,0,2,20,False
2018-11-01,0,1,0,4,17,False
2018-12-01,0,1,0,1,16,False
2019-01-01,0,7,0,2,16,False
2019-02-01,0,5,0,3,19,False
2019-03-01,0,2,0,3,15,False
2019-04-01,0,1,0,2,19,False
2019-05-01,0,2,0,2,16,False
2019-06-01,0,2,0,2,17,False
2019-07-01,0,1,0,2,24,False
2019-08-01,0,1,0,4,20,False
2019-09-01,0,2,0,3,17,False
2019-10-01,0,2,0,2,16,False
2019-11-01,0,1,0,2,16,False
2019-12-01,0,2,0,2,19,False
2020-01-01,0,1,0,3,28,False
2020-02-01,0,1,0,4,54,False
2020-03-01,0,2,0,3,21,False
2020-04-01,0,3,0,4,17,False
2020-05-01,0,1,0,4,14,False
2020-06-01,0,1,0,3,16,False
2020-07-01,0,0,0,2,34,False
2020-08-01,0,1,0,4,27,False
2020-09-01,0,2,0,4,19,False
2020-10-01,0,1,0,3,21,False
